more_information,info_id,date
"Over 40 members of Unite at Walsall Housing Group will take 12 days of strike action over the coming weeks on October 21, 24, 28 and 31 and then on 4, 7, 11, 14, 18, 21, 25 and 28 November.",5,2022-11-28
NA,6,NA
"Workers in the Further Education sector have their pay awards determined locally, by their employer. This year, Truro & Penwith College have made a 3.75% pay award, a HUGE real terms pay cut, which contributes to the 20% cut most posts have had since 2008. Members from both NEU and UCU call for a fair pay award. The College currently refuses to meet with union negotiators or to share the management accounts.",7,NA
Action is now on 10 November,8,2022-11-10
"No consultation over new working practice. I say jump you say how high

",9,NA
"Union officials said the Wakefield museum's pay offer was half the rate of inflation and members did not want to strike but ""had no choice"".",10,NA
https://neu.org.uk/press-releases/sixth-form-colleges-ballot-result,11,NA
Defending jobs pay and working conditions,12,NA
"** MEMBERS ARE ONLY OUT DURING THIS TIME EVERY THURSDAY**  

Honeywell with an annual revenue of $34.5billion would not negotiate for 2022 on current inflations rates but based on what other Honeywell sites accepted during the pandemic.  They are insisting that our members accept a 0% deal for one of the years of a 3 year.  The other 2 years only offered 2.75% each.  Our members do not want a multi year deal during such uncertain times but were told if it was to be a 1 year deal then 0% would all that would be offered.
There is also an equal pay grievance still live despite being raised as a concern in March when the issue came to light during pay talks.  These women leading the grievance are underpaid as same skilled male colleagues, or paid the same as lesser skilled male colleagues.  
Some of the lowest paid workers are not yet on the Scottish Living Wage.

*** WILL POST UPDATES OF FURTHER ESCALATION DATES HERE ***",13,NA
"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",14,2022-11-24
"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",14,2022-11-25
"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",14,2022-11-30
"The workers are in their second week of strike action (Monday 28 November – Friday 2 December). This will be followed by a 48 hour strike beginning on Thursday 8 December, a week of strike action from Monday 12 December and 72 hours of strike action from Monday 19 December.

Energy companies are making record profits of hundreds of billions, yet there is apparently no money available for our hard pressed construction workers.",15,2022-11-28
"The workers are in their second week of strike action (Monday 28 November – Friday 2 December). This will be followed by a 48 hour strike beginning on Thursday 8 December, a week of strike action from Monday 12 December and 72 hours of strike action from Monday 19 December.

Energy companies are making record profits of hundreds of billions, yet there is apparently no money available for our hard pressed construction workers.",15,2022-11-29
"The workers are in their second week of strike action (Monday 28 November – Friday 2 December). This will be followed by a 48 hour strike beginning on Thursday 8 December, a week of strike action from Monday 12 December and 72 hours of strike action from Monday 19 December.

Energy companies are making record profits of hundreds of billions, yet there is apparently no money available for our hard pressed construction workers.",15,2022-11-30
"The workers are in their second week of strike action (Monday 28 November – Friday 2 December). This will be followed by a 48 hour strike beginning on Thursday 8 December, a week of strike action from Monday 12 December and 72 hours of strike action from Monday 19 December.

Energy companies are making record profits of hundreds of billions, yet there is apparently no money available for our hard pressed construction workers.",15,2022-12-01
"The workers are in their second week of strike action (Monday 28 November – Friday 2 December). This will be followed by a 48 hour strike beginning on Thursday 8 December, a week of strike action from Monday 12 December and 72 hours of strike action from Monday 19 December.

Energy companies are making record profits of hundreds of billions, yet there is apparently no money available for our hard pressed construction workers.",15,2022-12-02
"The workers are in their second week of strike action (Monday 28 November – Friday 2 December). This will be followed by a 48 hour strike beginning on Thursday 8 December, a week of strike action from Monday 12 December and 72 hours of strike action from Monday 19 December.

Energy companies are making record profits of hundreds of billions, yet there is apparently no money available for our hard pressed construction workers.",15,2022-12-08
"The workers are in their second week of strike action (Monday 28 November – Friday 2 December). This will be followed by a 48 hour strike beginning on Thursday 8 December, a week of strike action from Monday 12 December and 72 hours of strike action from Monday 19 December.

Energy companies are making record profits of hundreds of billions, yet there is apparently no money available for our hard pressed construction workers.",15,2022-12-09
"The workers are in their second week of strike action (Monday 28 November – Friday 2 December). This will be followed by a 48 hour strike beginning on Thursday 8 December, a week of strike action from Monday 12 December and 72 hours of strike action from Monday 19 December.

Energy companies are making record profits of hundreds of billions, yet there is apparently no money available for our hard pressed construction workers.",15,2022-12-12
"The workers are in their second week of strike action (Monday 28 November – Friday 2 December). This will be followed by a 48 hour strike beginning on Thursday 8 December, a week of strike action from Monday 12 December and 72 hours of strike action from Monday 19 December.

Energy companies are making record profits of hundreds of billions, yet there is apparently no money available for our hard pressed construction workers.",15,2022-12-13
"The workers are in their second week of strike action (Monday 28 November – Friday 2 December). This will be followed by a 48 hour strike beginning on Thursday 8 December, a week of strike action from Monday 12 December and 72 hours of strike action from Monday 19 December.

Energy companies are making record profits of hundreds of billions, yet there is apparently no money available for our hard pressed construction workers.",15,2022-12-14
"The workers are in their second week of strike action (Monday 28 November – Friday 2 December). This will be followed by a 48 hour strike beginning on Thursday 8 December, a week of strike action from Monday 12 December and 72 hours of strike action from Monday 19 December.

Energy companies are making record profits of hundreds of billions, yet there is apparently no money available for our hard pressed construction workers.",15,2022-12-15
"The workers are in their second week of strike action (Monday 28 November – Friday 2 December). This will be followed by a 48 hour strike beginning on Thursday 8 December, a week of strike action from Monday 12 December and 72 hours of strike action from Monday 19 December.

Energy companies are making record profits of hundreds of billions, yet there is apparently no money available for our hard pressed construction workers.",15,2022-12-16
"The workers are in their second week of strike action (Monday 28 November – Friday 2 December). This will be followed by a 48 hour strike beginning on Thursday 8 December, a week of strike action from Monday 12 December and 72 hours of strike action from Monday 19 December.

Energy companies are making record profits of hundreds of billions, yet there is apparently no money available for our hard pressed construction workers.",15,2022-12-19
"The workers are in their second week of strike action (Monday 28 November – Friday 2 December). This will be followed by a 48 hour strike beginning on Thursday 8 December, a week of strike action from Monday 12 December and 72 hours of strike action from Monday 19 December.

Energy companies are making record profits of hundreds of billions, yet there is apparently no money available for our hard pressed construction workers.",15,2022-12-20
"All out strike. 

An offer of 4% raise and a £1k one—off bonus payment has been rejected by members 3 times. The employers position is that union members should be grateful they were not decreasing the offer. The employer has also confirmed they have a huge stockpile which would last approx 10 weeks- a clear indication they have no intention of trying to resolve this dispute and are waiting for members to give up their strike. Show them solidarity!",16,NA
"Following years of poverty pay increases members have had enough. The fashion in recent years is to pay bonus payments instead of increasing pay which means our members pay is not increasing in line with inflation. That means that year on year they’re having real terms pay cuts. 

Action will take place on October 24, 28 and 31 and November 4, 7, 11, 14, 18, 21, 25 and 28.",17,2022-10-24
"Following years of poverty pay increases members have had enough. The fashion in recent years is to pay bonus payments instead of increasing pay which means our members pay is not increasing in line with inflation. That means that year on year they’re having real terms pay cuts. 

Action will take place on October 24, 28 and 31 and November 4, 7, 11, 14, 18, 21, 25 and 28.",17,2022-10-28
"Following years of poverty pay increases members have had enough. The fashion in recent years is to pay bonus payments instead of increasing pay which means our members pay is not increasing in line with inflation. That means that year on year they’re having real terms pay cuts. 

Action will take place on October 24, 28 and 31 and November 4, 7, 11, 14, 18, 21, 25 and 28.",17,2022-10-31
"Following years of poverty pay increases members have had enough. The fashion in recent years is to pay bonus payments instead of increasing pay which means our members pay is not increasing in line with inflation. That means that year on year they’re having real terms pay cuts. 

Action will take place on October 24, 28 and 31 and November 4, 7, 11, 14, 18, 21, 25 and 28.",17,2022-11-04
"Following years of poverty pay increases members have had enough. The fashion in recent years is to pay bonus payments instead of increasing pay which means our members pay is not increasing in line with inflation. That means that year on year they’re having real terms pay cuts. 

Action will take place on October 24, 28 and 31 and November 4, 7, 11, 14, 18, 21, 25 and 28.",17,2022-11-07
"Following years of poverty pay increases members have had enough. The fashion in recent years is to pay bonus payments instead of increasing pay which means our members pay is not increasing in line with inflation. That means that year on year they’re having real terms pay cuts. 

Action will take place on October 24, 28 and 31 and November 4, 7, 11, 14, 18, 21, 25 and 28.",17,2022-11-11
"Following years of poverty pay increases members have had enough. The fashion in recent years is to pay bonus payments instead of increasing pay which means our members pay is not increasing in line with inflation. That means that year on year they’re having real terms pay cuts. 

Action will take place on October 24, 28 and 31 and November 4, 7, 11, 14, 18, 21, 25 and 28.",17,2022-11-14
"Following years of poverty pay increases members have had enough. The fashion in recent years is to pay bonus payments instead of increasing pay which means our members pay is not increasing in line with inflation. That means that year on year they’re having real terms pay cuts. 

Action will take place on October 24, 28 and 31 and November 4, 7, 11, 14, 18, 21, 25 and 28.",17,2022-11-18
"Following years of poverty pay increases members have had enough. The fashion in recent years is to pay bonus payments instead of increasing pay which means our members pay is not increasing in line with inflation. That means that year on year they’re having real terms pay cuts. 

Action will take place on October 24, 28 and 31 and November 4, 7, 11, 14, 18, 21, 25 and 28.",17,2022-11-21
"Following years of poverty pay increases members have had enough. The fashion in recent years is to pay bonus payments instead of increasing pay which means our members pay is not increasing in line with inflation. That means that year on year they’re having real terms pay cuts. 

Action will take place on October 24, 28 and 31 and November 4, 7, 11, 14, 18, 21, 25 and 28.",17,2022-11-25
"Following years of poverty pay increases members have had enough. The fashion in recent years is to pay bonus payments instead of increasing pay which means our members pay is not increasing in line with inflation. That means that year on year they’re having real terms pay cuts. 

Action will take place on October 24, 28 and 31 and November 4, 7, 11, 14, 18, 21, 25 and 28.",17,2022-11-28
"RMT will be taking industrial action between the 12th Dec 22 and the 07th Jan 23.
Strike days-
 12th,13th,15th & 16th of Dec.
03rd, 04th,06th & 07th of Jan.
No Overtime- 18th Dec until 02nd Jan
Picket line starts at 0530 until 0830 on most strike days.
",18,2022-12-12
"RMT will be taking industrial action between the 12th Dec 22 and the 07th Jan 23.
Strike days-
 12th,13th,15th & 16th of Dec.
03rd, 04th,06th & 07th of Jan.
No Overtime- 18th Dec until 02nd Jan
Picket line starts at 0530 until 0830 on most strike days.
",18,2022-12-13
"RMT will be taking industrial action between the 12th Dec 22 and the 07th Jan 23.
Strike days-
 12th,13th,15th & 16th of Dec.
03rd, 04th,06th & 07th of Jan.
No Overtime- 18th Dec until 02nd Jan
Picket line starts at 0530 until 0830 on most strike days.
",18,2022-12-15
"RMT will be taking industrial action between the 12th Dec 22 and the 07th Jan 23.
Strike days-
 12th,13th,15th & 16th of Dec.
03rd, 04th,06th & 07th of Jan.
No Overtime- 18th Dec until 02nd Jan
Picket line starts at 0530 until 0830 on most strike days.
",18,2022-12-16
"RMT will be taking industrial action between the 12th Dec 22 and the 07th Jan 23.
Strike days-
 12th,13th,15th & 16th of Dec.
03rd, 04th,06th & 07th of Jan.
No Overtime- 18th Dec until 02nd Jan
Picket line starts at 0530 until 0830 on most strike days.
",18,2023-01-03
"RMT will be taking industrial action between the 12th Dec 22 and the 07th Jan 23.
Strike days-
 12th,13th,15th & 16th of Dec.
03rd, 04th,06th & 07th of Jan.
No Overtime- 18th Dec until 02nd Jan
Picket line starts at 0530 until 0830 on most strike days.
",18,2023-01-04
"RMT will be taking industrial action between the 12th Dec 22 and the 07th Jan 23.
Strike days-
 12th,13th,15th & 16th of Dec.
03rd, 04th,06th & 07th of Jan.
No Overtime- 18th Dec until 02nd Jan
Picket line starts at 0530 until 0830 on most strike days.
",18,2023-01-06
"RMT will be taking industrial action between the 12th Dec 22 and the 07th Jan 23.
Strike days-
 12th,13th,15th & 16th of Dec.
03rd, 04th,06th & 07th of Jan.
No Overtime- 18th Dec until 02nd Jan
Picket line starts at 0530 until 0830 on most strike days.
",18,2023-01-07
"National strike dates 24, 25 & 30 November. For full picket details please email UCU@contacts.bham.ac.uk.",19,2022-11-24
"National strike dates 24, 25 & 30 November. For full picket details please email UCU@contacts.bham.ac.uk.",19,2022-11-25
"National strike dates 24, 25 & 30 November. For full picket details please email UCU@contacts.bham.ac.uk.",19,2022-11-30
National sixth form college strike for a funded pay rise in line with inflation,20,NA
"Crowns & Admin members will commence strike action at or after 6am on Monday 12th December and before 8pm on Tuesday 13th December.

Supply Chain members commence an overtime and scheduled attendance ban at midnight on the morning of Monday 12th December until one minute before midnight on Saturday 24th December.

Around 1,400 staff working at Crown Offices and in Admin functions will walk out for two days in just under a fortnight’s time, while Supply Chain members will begin a two-week overtime ban from next Monday until Christmas Eve.

The action follows an overwhelming endorsement in the reballot held earlier this month, which returned an astonishing 91.24 per cent YES to the union’s strike plan – as well as a similar 90 per cent-plus majority for action short of a strike. It was the first time in the CWU’s history that the same group of members have returned consecutive YES votes in the same calendar year.",21,2022-12-12
"Crowns & Admin members will commence strike action at or after 6am on Monday 12th December and before 8pm on Tuesday 13th December.

Supply Chain members commence an overtime and scheduled attendance ban at midnight on the morning of Monday 12th December until one minute before midnight on Saturday 24th December.

Around 1,400 staff working at Crown Offices and in Admin functions will walk out for two days in just under a fortnight’s time, while Supply Chain members will begin a two-week overtime ban from next Monday until Christmas Eve.

The action follows an overwhelming endorsement in the reballot held earlier this month, which returned an astonishing 91.24 per cent YES to the union’s strike plan – as well as a similar 90 per cent-plus majority for action short of a strike. It was the first time in the CWU’s history that the same group of members have returned consecutive YES votes in the same calendar year.",21,2022-12-13
"TfL refuses to discuss pay as inflation reaches 12.3 per cent

The unmitigated failure of TfL (Transport for London) managers to discuss pay with Woolwich Ferry workers means Unite will stage a five day strike.

The strike begins on Monday 24 October and ends on Friday 28 October.  87% of the workers who took part in the ballot voted for strike action.

The workers currently face a toxic combination of an employer refusing to discuss a pay deal for 2022, and management victimising and unfairly suspending workers on the service. Unite is challenging the inconsistent treatment of a number of older staff who have been unfairly suspended or dismissed. The service has also refused to discuss the over-reliance on agency workers and alternative working arrangements.

Unite general secretary Sharon Graham, said: “TfL has squandered the time it had to reach a resolution with the workforce. It is absolutely unacceptable for the ferry service to refuse to discuss improving pay in the middle of a cost of living crisis.

“The workers will begin strike action next week and they have the union’s rock solid support. The sooner TfL bosses realise that they must put forward a genuine proposal to end this dispute the better.” 

The troubled ferry operation has been plagued by poor employment relations for years, first with the previous operator Briggs Marine Contractors Ltd and now with TfL which has led to more than 30 days of strike action during 2021.

Unite regional officer Onay Kasab said: “This dispute clearly proves that regardless of the political colours worn by the employer we will steadfastly support our members.

“This is a Labour mayor under a Labour majority GLA who run TFL. They have failed these workers time and time again. Unite is determined to focus on the workplace and take the necessary action to win fair pay and to defend workers.”

The free service across the Thames opened in 1889 following the abolition of tolls across bridges to the west of London. There has been a ferry in place at the site since the 14th century.

",22,2022-10-24
"TfL refuses to discuss pay as inflation reaches 12.3 per cent

The unmitigated failure of TfL (Transport for London) managers to discuss pay with Woolwich Ferry workers means Unite will stage a five day strike.

The strike begins on Monday 24 October and ends on Friday 28 October.  87% of the workers who took part in the ballot voted for strike action.

The workers currently face a toxic combination of an employer refusing to discuss a pay deal for 2022, and management victimising and unfairly suspending workers on the service. Unite is challenging the inconsistent treatment of a number of older staff who have been unfairly suspended or dismissed. The service has also refused to discuss the over-reliance on agency workers and alternative working arrangements.

Unite general secretary Sharon Graham, said: “TfL has squandered the time it had to reach a resolution with the workforce. It is absolutely unacceptable for the ferry service to refuse to discuss improving pay in the middle of a cost of living crisis.

“The workers will begin strike action next week and they have the union’s rock solid support. The sooner TfL bosses realise that they must put forward a genuine proposal to end this dispute the better.” 

The troubled ferry operation has been plagued by poor employment relations for years, first with the previous operator Briggs Marine Contractors Ltd and now with TfL which has led to more than 30 days of strike action during 2021.

Unite regional officer Onay Kasab said: “This dispute clearly proves that regardless of the political colours worn by the employer we will steadfastly support our members.

“This is a Labour mayor under a Labour majority GLA who run TFL. They have failed these workers time and time again. Unite is determined to focus on the workplace and take the necessary action to win fair pay and to defend workers.”

The free service across the Thames opened in 1889 following the abolition of tolls across bridges to the west of London. There has been a ferry in place at the site since the 14th century.

",22,2022-10-25
"TfL refuses to discuss pay as inflation reaches 12.3 per cent

The unmitigated failure of TfL (Transport for London) managers to discuss pay with Woolwich Ferry workers means Unite will stage a five day strike.

The strike begins on Monday 24 October and ends on Friday 28 October.  87% of the workers who took part in the ballot voted for strike action.

The workers currently face a toxic combination of an employer refusing to discuss a pay deal for 2022, and management victimising and unfairly suspending workers on the service. Unite is challenging the inconsistent treatment of a number of older staff who have been unfairly suspended or dismissed. The service has also refused to discuss the over-reliance on agency workers and alternative working arrangements.

Unite general secretary Sharon Graham, said: “TfL has squandered the time it had to reach a resolution with the workforce. It is absolutely unacceptable for the ferry service to refuse to discuss improving pay in the middle of a cost of living crisis.

“The workers will begin strike action next week and they have the union’s rock solid support. The sooner TfL bosses realise that they must put forward a genuine proposal to end this dispute the better.” 

The troubled ferry operation has been plagued by poor employment relations for years, first with the previous operator Briggs Marine Contractors Ltd and now with TfL which has led to more than 30 days of strike action during 2021.

Unite regional officer Onay Kasab said: “This dispute clearly proves that regardless of the political colours worn by the employer we will steadfastly support our members.

“This is a Labour mayor under a Labour majority GLA who run TFL. They have failed these workers time and time again. Unite is determined to focus on the workplace and take the necessary action to win fair pay and to defend workers.”

The free service across the Thames opened in 1889 following the abolition of tolls across bridges to the west of London. There has been a ferry in place at the site since the 14th century.

",22,2022-10-26
"TfL refuses to discuss pay as inflation reaches 12.3 per cent

The unmitigated failure of TfL (Transport for London) managers to discuss pay with Woolwich Ferry workers means Unite will stage a five day strike.

The strike begins on Monday 24 October and ends on Friday 28 October.  87% of the workers who took part in the ballot voted for strike action.

The workers currently face a toxic combination of an employer refusing to discuss a pay deal for 2022, and management victimising and unfairly suspending workers on the service. Unite is challenging the inconsistent treatment of a number of older staff who have been unfairly suspended or dismissed. The service has also refused to discuss the over-reliance on agency workers and alternative working arrangements.

Unite general secretary Sharon Graham, said: “TfL has squandered the time it had to reach a resolution with the workforce. It is absolutely unacceptable for the ferry service to refuse to discuss improving pay in the middle of a cost of living crisis.

“The workers will begin strike action next week and they have the union’s rock solid support. The sooner TfL bosses realise that they must put forward a genuine proposal to end this dispute the better.” 

The troubled ferry operation has been plagued by poor employment relations for years, first with the previous operator Briggs Marine Contractors Ltd and now with TfL which has led to more than 30 days of strike action during 2021.

Unite regional officer Onay Kasab said: “This dispute clearly proves that regardless of the political colours worn by the employer we will steadfastly support our members.

“This is a Labour mayor under a Labour majority GLA who run TFL. They have failed these workers time and time again. Unite is determined to focus on the workplace and take the necessary action to win fair pay and to defend workers.”

The free service across the Thames opened in 1889 following the abolition of tolls across bridges to the west of London. There has been a ferry in place at the site since the 14th century.

",22,2022-10-27
"TfL refuses to discuss pay as inflation reaches 12.3 per cent

The unmitigated failure of TfL (Transport for London) managers to discuss pay with Woolwich Ferry workers means Unite will stage a five day strike.

The strike begins on Monday 24 October and ends on Friday 28 October.  87% of the workers who took part in the ballot voted for strike action.

The workers currently face a toxic combination of an employer refusing to discuss a pay deal for 2022, and management victimising and unfairly suspending workers on the service. Unite is challenging the inconsistent treatment of a number of older staff who have been unfairly suspended or dismissed. The service has also refused to discuss the over-reliance on agency workers and alternative working arrangements.

Unite general secretary Sharon Graham, said: “TfL has squandered the time it had to reach a resolution with the workforce. It is absolutely unacceptable for the ferry service to refuse to discuss improving pay in the middle of a cost of living crisis.

“The workers will begin strike action next week and they have the union’s rock solid support. The sooner TfL bosses realise that they must put forward a genuine proposal to end this dispute the better.” 

The troubled ferry operation has been plagued by poor employment relations for years, first with the previous operator Briggs Marine Contractors Ltd and now with TfL which has led to more than 30 days of strike action during 2021.

Unite regional officer Onay Kasab said: “This dispute clearly proves that regardless of the political colours worn by the employer we will steadfastly support our members.

“This is a Labour mayor under a Labour majority GLA who run TFL. They have failed these workers time and time again. Unite is determined to focus on the workplace and take the necessary action to win fair pay and to defend workers.”

The free service across the Thames opened in 1889 following the abolition of tolls across bridges to the west of London. There has been a ferry in place at the site since the 14th century.

",22,2022-10-28
"Pickets 2, 3, 4-5 December 2022",23,2022-12-02
"Pickets 2, 3, 4-5 December 2022",23,2022-12-03
"Pickets 2, 3, 4-5 December 2022",23,2022-12-04
"Pickets 2, 3, 4-5 December 2022",23,2022-12-05
UNISON members are striking for a pay rise that keeps up with inflation. With the cost of living crisis and increased bills they simply can’t afford to live on the money that employers have offered. The first strike date is scheduled for 20 September 2022. With more strikes planned later in the year.,24,2022-09-20
"Administrators, cleaners, library, security and catering workers – many of them among the lowest paid in the ​university sector – are among those taking industrial action.

The employees ​are after a fair ​pay rise ​to help them cope with soaring ​prices. This follows several years ​where wages have failed to keep pace with inflation.",25,NA
"Following the 3% pay offer made to staff in higher education, City UNISON will be taking strike action jointly with City UCU on Thursday 24th, Friday 25th and Wednesday 30th November to demand a better pay offer.  The 3% pay offer is an insult for hardworking staff and would mean a massive real terms pay cut. We’re worth more and we can’t afford less. We are also campaigning for meaningful action in closing the gender, ethnicity and disability pay gaps and action to reduce stress and excessive workloads.",26,2022-11-24
"Following the 3% pay offer made to staff in higher education, City UNISON will be taking strike action jointly with City UCU on Thursday 24th, Friday 25th and Wednesday 30th November to demand a better pay offer.  The 3% pay offer is an insult for hardworking staff and would mean a massive real terms pay cut. We’re worth more and we can’t afford less. We are also campaigning for meaningful action in closing the gender, ethnicity and disability pay gaps and action to reduce stress and excessive workloads.",26,2022-11-25
"Following the 3% pay offer made to staff in higher education, City UNISON will be taking strike action jointly with City UCU on Thursday 24th, Friday 25th and Wednesday 30th November to demand a better pay offer.  The 3% pay offer is an insult for hardworking staff and would mean a massive real terms pay cut. We’re worth more and we can’t afford less. We are also campaigning for meaningful action in closing the gender, ethnicity and disability pay gaps and action to reduce stress and excessive workloads.",26,2022-11-30
Hinduja Group owner family is the richest in the country topping the Sunday Time rich list 2022 with a wealth of £28.4bn. Yet staff are being paid just £9.75 pee hour and baic terms: no sick pay in first year (then only 7 days by third year) and just 20 days annual leave.,27,NA
Removal from Teachers Pension Scheme. Picket dates 28 november and 1 december,28,2022-11-28
Removal from Teachers Pension Scheme. Picket dates 28 november and 1 december,28,2022-12-01
"Unite members working for London United will be striking Friday 19th and Saturday 20th August. There will be a picket outside Park Royal Bus Garage, Atlas Road, Park Royal, London NW10 6DN between 0400 and 1830.",29,2022-08-19
"Unite members working for London United will be striking Friday 19th and Saturday 20th August. There will be a picket outside Park Royal Bus Garage, Atlas Road, Park Royal, London NW10 6DN between 0400 and 1830.",29,2022-08-20
"University workers across Scotland have been given a real terms 7% pay cut, while senior management receive massive increases. We are standing up for fair pay for all workers the University of Dundee, and all university workers across Scotland.",30,NA
"The workforce have a further 13 days of strike action scheduled. They are on strike today (Thursday 1 December), 2 December, Monday 5 until Saturday 10 December and Monday 12 December until Friday 16 December.

Mizkan workers seek a 7% cost of living pay rise  after a 5% offer was rejected by 93% of union members. Since 18 October strike action was limited to 2 days per week, but members intend being on 'all-out' strike with effect from Tuesday 22 November to force the issue. Mizkan strikers would most welcome daily picket-line support & solidarity, from 7am. Financial support would also be very much welcome - Bank details are as follows
Account Name: Unite Nw/840
Account Number:	20414935
Sort code: 60-83-01",31,2022-12-01
"The workforce have a further 13 days of strike action scheduled. They are on strike today (Thursday 1 December), 2 December, Monday 5 until Saturday 10 December and Monday 12 December until Friday 16 December.

Mizkan workers seek a 7% cost of living pay rise  after a 5% offer was rejected by 93% of union members. Since 18 October strike action was limited to 2 days per week, but members intend being on 'all-out' strike with effect from Tuesday 22 November to force the issue. Mizkan strikers would most welcome daily picket-line support & solidarity, from 7am. Financial support would also be very much welcome - Bank details are as follows
Account Name: Unite Nw/840
Account Number:	20414935
Sort code: 60-83-01",31,2022-12-02
"The workforce have a further 13 days of strike action scheduled. They are on strike today (Thursday 1 December), 2 December, Monday 5 until Saturday 10 December and Monday 12 December until Friday 16 December.

Mizkan workers seek a 7% cost of living pay rise  after a 5% offer was rejected by 93% of union members. Since 18 October strike action was limited to 2 days per week, but members intend being on 'all-out' strike with effect from Tuesday 22 November to force the issue. Mizkan strikers would most welcome daily picket-line support & solidarity, from 7am. Financial support would also be very much welcome - Bank details are as follows
Account Name: Unite Nw/840
Account Number:	20414935
Sort code: 60-83-01",31,2022-12-05
"The workforce have a further 13 days of strike action scheduled. They are on strike today (Thursday 1 December), 2 December, Monday 5 until Saturday 10 December and Monday 12 December until Friday 16 December.

Mizkan workers seek a 7% cost of living pay rise  after a 5% offer was rejected by 93% of union members. Since 18 October strike action was limited to 2 days per week, but members intend being on 'all-out' strike with effect from Tuesday 22 November to force the issue. Mizkan strikers would most welcome daily picket-line support & solidarity, from 7am. Financial support would also be very much welcome - Bank details are as follows
Account Name: Unite Nw/840
Account Number:	20414935
Sort code: 60-83-01",31,2022-12-06
