id,trade_unions_taking_action,email_solidarity,employer_name,action_reason,action_start,constituency,region,country,more_information,strike_status,status,location/lat,location/lng,twitter_handles,union/slug,union
21610,"Nation Union of Rail, Maritime and Transport Workers",chrisisamawby@hotmail.co.uk,Avanti West Coast,Working conditions e.g. Change to conditions/workload,2022-10-01T08:09:11+00:00,Rugby,West Midlands,England,Defending jobs pay and working conditions ,ACTIVE,,52.378843,-1.250887,,,
21612,Unite the Union,carrie.binnie@Unitetheunion.org,Honeywell Aerospace,Pay,2022-10-06T13:57:16+00:00,Edinburgh West,null,Scotland,"** MEMBERS ARE ONLY OUT DURING THIS TIME EVERY THURSDAY**  

Honeywell with an annual revenue of $34.5billion would not negotiate for 2022 on current inflations rates but based on what other Honeywell sites accepted during the pandemic.  They are insisting that our members accept a 0% deal for one of the years of a 3 year.  The other 2 years only offered 2.75% each.  Our members do not want a multi year deal during such uncertain times but were told if it was to be a 1 year deal then 0% would all that would be offered.
There is also an equal pay grievance still live despite being raised as a concern in March when the issue came to light during pay talks.  These women leading the grievance are underpaid as same skilled male colleagues, or paid the same as lesser skilled male colleagues.  
Some of the lowest paid workers are not yet on the Scottish Living Wage.

*** WILL POST UPDATES OF FURTHER ESCALATION DATES HERE ***",ACTIVE,,55.937016,-3.396417,,,
22087,University and College Union,campaigns@ucu.org.uk,University of Southampton,Pay and pensions,2022-11-30T00:00:00+00:00,"Southampton, Test",South East,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,50.934099,-1.395714,,ucu,
21902,Unite the Union,barckley.sumner@unitetheunion.org,"Fawley Oil refinery (Altrad, Bilfinger, and Enerveo)",Pay,2022-11-21T18:39:24+00:00,New Forest East,South East,England,"Join the picket 6am every day 21-26 November as well as Monday 28 November until Saturday 3 December.

Energy companies are making record profits of hundreds of billions, yet there is apparently no money available for our hard pressed construction workers.",ACTIVE,,50.830314,-1.3551,,,
19443,,info@cwu.org,Royal Mail,Pay,2022-12-01T00:00:00+00:00,Braintree,East of England,England,"Next picket dates: 1 December. Friday 9 December, Sunday 11 December, Wednesday 14 December, Thursday 15 December, Friday 23 December and Saturday 24 December",ACTIVE,,51.876441,0.566235,@CWUnews,cwu,
21613,Unite the Union,,Marlow Foods (Quorn),Pay,2022-09-30T16:05:05+00:00,Stockton North,North East,England,"All out strike. 

An offer of 4% raise and a £1k one—off bonus payment has been rejected by members 3 times. The employers position is that union members should be grateful they were not decreasing the offer. The employer has also confirmed they have a huge stockpile which would last approx 10 weeks- a clear indication they have no intention of trying to resolve this dispute and are waiting for members to give up their strike. Show them solidarity!",ACTIVE,,54.601988,-1.256734,,,
22216,Associated Society of Locomotive Engineers and Firemen,diary@aslef.org.uk,Northern Trains,Pay,2022-11-26T00:00:00+00:00,Manchester Central,North West,England,ASLEF members at 11  train operating companies will take strike action on 26th November in an ongoing dispute over pay. Find out more at https://aslef.org.uk/campaign/fair-pay-stand-train-drivers,ACTIVE,,53.487126,-2.2421,,aslef,
21578,GMB,Justine.jones@gmb.org.uk,Walsall housing group,,2022-10-24T00:00:00+00:00,Walsall South,West Midlands,England,"Following years of poverty pay increases members have had enough. The fashion in recent years is to pay bonus payments instead of increasing pay which means our members pay is not increasing in line with inflation. That means that year on year they’re having real terms pay cuts. 

Action will take place on October 24, 28 and 31 and November 4, 7, 11, 14, 18, 21, 25 and 28.",ACTIVE,,52.589062,-1.978967,,,
21808,National Education Union,robert.phillips@neu.org.uk,St Francis Xavier Sixth Form College,Pay,2022-11-30T00:00:00+00:00,"Southampton, Test",South East,England,https://neu.org.uk/press-releases/sixth-form-colleges-ballot-result,ACTIVE,,50.926583,-1.417311,,neu,
22209,Associated Society of Locomotive Engineers and Firemen,diary@aslef.org.uk,Chiltern Railways,Pay,2022-11-26T00:00:00+00:00,Aylesbury,South East,England,ASLEF members at 11  train operating companies will take strike action on 26th November in an ongoing dispute over pay. Find out more at https://aslef.org.uk/campaign/fair-pay-stand-train-drivers,ACTIVE,,51.813742,-0.814752,,aslef,
22226,"National Union of Rail, Maritime and Transport Workers",manchestervictoria@rmt.org.uk,NORTHERN RAIL,"Pay, Working conditions e.g. Change to conditions/workload, Safety",2022-12-13T08:29:50+00:00,Manchester Central,North West,England,"RMT will be taking industrial action between the 12th Dec 22 and the 07th Jan 23.
Strike days-
 12th,13th,15th & 16th of Dec.
03rd, 04th,06th & 07th of Jan.
No Overtime- 18th Dec until 02nd Jan
Picket line starts at 0530 until 0830 on most strike days.
",ACTIVE,,53.50508,-2.184789,,,
22041,University and College Union,info@swanseaucu.org,Swansea University,Pay and pensions,2022-11-30T00:00:00+00:00,Aberavon,null,Wales,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,51.6188,-3.879405,,ucu,
22193,University and College Union,campaigns@ucu.org.uk,University of Birmingham,Pay and pensions,2022-11-30T00:00:00+00:00,"Birmingham, Edgbaston",West Midlands,England,"National strike dates 24, 25 & 30 November. For full picket details please email UCU@contacts.bham.ac.uk.",ACTIVE,,52.453282,-1.92789,,ucu,
22080,University and College Union,ucu@lshtm.ac.uk,London School of Hygiene and Tropical Medicine (LSHTM),Pay and pensions,2022-11-30T00:00:00+00:00,Holborn and St Pancras,London,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,51.520925,-0.130687,,ucu,
22227,Associated Society of Locomotive Engineers and Firemen,rstanforth@ymail.com,Chiltern Railways,Pay,2022-11-26T15:04:54+00:00,South West Hertfordshire,East of England,England,,ACTIVE,,51.758802,-0.563092,,aslef,
19117,,info@cwu.org,Royal Mail,Pay,2022-12-01T00:00:00+00:00,Moray,null,Scotland,"Next picket dates: 1 December. Friday 9 December, Sunday 11 December, Wednesday 14 December, Thursday 15 December, Friday 23 December and Saturday 24 December",ACTIVE,,57.540509,-2.95019,@CWUnews,cwu,
22100,University and College Union,campaigns@ucu.org.uk,University of Chichester,Pay & conditions,2022-11-30T00:00:00+00:00,Chichester,South East,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,50.84431,-0.77501,,ucu,
21894,National Education Union,kejo@henleycol.ac.uk,The Henley College,Pay,2022-11-30T01:13:08+00:00,Henley,South East,England,National sixth form college strike for a funded pay rise in line with inflation ,ACTIVE,,51.536049,-0.907967,,neu,
19120,,info@cwu.org,Royal Mail,Pay,2022-12-01T00:00:00+00:00,St Albans,East of England,England,"Next picket dates: 1 December. Friday 9 December, Sunday 11 December, Wednesday 14 December, Thursday 15 December, Friday 23 December and Saturday 24 December",ACTIVE,,51.74765,-0.301973,@CWUnews,cwu,
22059,University and College Union,ljmuucu@gmail.com,Liverpool John Moores University (LJMU),Pay & conditions,2022-11-30T00:00:00+00:00,"Liverpool, Riverside",North West,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,53.405093,-2.970289,,ucu,
22064,University and College Union,campaigns@ucu.org.uk,University of Sheffield,Pay and pensions,2022-11-30T00:00:00+00:00,Rotherham,Yorkshire and The Humber,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,53.387571,-1.377854,,ucu,
21815,National Education Union,robert.phillips@neu.org.uk,King Edward VI College Stourbridge,Pay,2022-11-30T00:00:00+00:00,Stourbridge,West Midlands,England,https://neu.org.uk/press-releases/sixth-form-colleges-ballot-result,ACTIVE,,52.458559,-2.147944,,neu,
22054,University and College Union,campaigns@ucu.org.uk,Liverpool Institute of Performing Arts (LIPA),Pay & conditions,2022-11-30T00:00:00+00:00,"Liverpool, Riverside",North West,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,53.40036,-2.972964,,ucu,
21817,National Education Union,robert.phillips@neu.org.uk,Carmel College,Pay,2022-11-30T00:00:00+00:00,St Helens South and Whiston,North West,England,https://neu.org.uk/press-releases/sixth-form-colleges-ballot-result,ACTIVE,,53.442095,-2.769936,,neu,
21820,National Education Union,robert.phillips@neu.org.uk,Loreto College,Pay,2022-11-30T00:00:00+00:00,Manchester Central,North West,England,https://neu.org.uk/press-releases/sixth-form-colleges-ballot-result,ACTIVE,,53.461889,-2.253041,,neu,
22055,University and College Union,uogucu@gmail.com,University of Greenwich – Maritime Greenwich,Pay & conditions,2022-11-30T00:00:00+00:00,Greenwich and Woolwich,London,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,51.482186,-0.007809,,ucu,
22027,University and College Union,campaigns@ucu.org.uk,University of Hull,Pay and pensions,2022-11-30T00:00:00+00:00,Kingston upon Hull North,Yorkshire and The Humber,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,53.771778,-0.366384,,ucu,
22098,University and College Union,campaigns@ucu.org.uk,Staffordshire University,Pay & conditions,2022-11-30T00:00:00+00:00,Stoke-on-Trent Central,West Midlands,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,53.009074,-2.175522,,ucu,
22085,University and College Union,jrpeak@essex.ac.uk,University of Essex,Pay and pensions,2022-11-30T00:00:00+00:00,Harwich and North Essex,East of England,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,51.87681,0.946585,,ucu,
22029,University and College Union,campaigns@ucu.org.uk,University of Surrey,Pay and pensions,2022-11-30T00:00:00+00:00,Guildford,South East,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,51.242685,-0.587936,,ucu,
22071,University and College Union,campaigns@ucu.org.uk,King's College London,Pay and pensions,2022-11-30T00:00:00+00:00,Vauxhall,London,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,51.506518,-0.109849,,ucu,
22066,University and College Union,campaigns@ucu.org.uk,"City, University of London",Pay and pensions,2022-11-30T00:00:00+00:00,Islington South and Finsbury,London,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,51.527438,-0.105032,,ucu,
22165,University and College Union,campaigns@ucu.org.uk,Manchester Metropolitan University (MMU),Pay & conditions,2022-11-30T00:00:00+00:00,Manchester Central,North West,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,53.46766,-2.240754,,ucu,
22014,University and College Union,ucu@sunderland.ac.uk,University of Sunderland,Pay & conditions,2022-11-30T00:00:00+00:00,Sunderland Central,North East,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,54.904456,-1.390973,,ucu,
22021,University and College Union,campaigns@ucu.org.uk,The Institute of Development Studies,Pension cuts,2022-11-30T00:00:00+00:00,"Brighton, Pavilion",South East,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,50.865965,-0.090554,,ucu,
22099,University and College Union,chair@warwickucu.org.uk,University of Warwick,Pay and pensions,2022-11-30T00:00:00+00:00,Coventry South,West Midlands,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,52.38581,-1.564814,,ucu,
21988,University and College Union,m.mcareavey@bolton.ac.uk,University of Bolton,Pay & conditions,2022-11-30T00:00:00+00:00,Bolton South East,North West,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,53.573511,-2.436238,,ucu,
21992,University and College Union,tina.harvey@cumbria.ac.uk,University of Cumbria,Pay and pensions,2022-11-30T00:00:00+00:00,Lancaster and Fleetwood,North West,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,54.040797,-2.787727,,ucu,
21822,National Education Union,robert.phillips@neu.org.uk,Oldham Sixth Form College,Pay,2022-11-30T00:00:00+00:00,Oldham West and Royton,North West,England,https://neu.org.uk/press-releases/sixth-form-colleges-ballot-result,ACTIVE,,53.538654,-2.11865,,neu,
22086,University and College Union,jrpeak@essex.ac.uk,University of Essex,Pay and pensions,2022-11-30T00:00:00+00:00,Harwich and North Essex,East of England,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,51.87681,0.946585,,ucu,
22092,University and College Union,campaigns@ucu.org.uk,University for the Creative Arts (UCA),Pay & conditions,2022-11-30T00:00:00+00:00,South West Surrey,South East,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,51.215682,-0.805956,,ucu,
22081,University and College Union,campaigns@ucu.org.uk,Buckinghamshire New University,Pay & conditions,2022-11-30T00:00:00+00:00,Wycombe,South East,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,51.628593,-0.751659,,ucu,
22084,University and College Union,campaigns@ucu.org.uk,Cranfield University,Pension cuts,2022-11-30T00:00:00+00:00,Mid Bedfordshire,East of England,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,52.069817,-0.630801,,ucu,
22040,University and College Union,campaigns@ucu.org.uk,Bangor University,Pay and pensions,2022-11-30T00:00:00+00:00,Arfon,null,Wales,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,53.229193,-4.129437,,ucu,
19140,,info@cwu.org,Royal Mail,Pay,2022-12-01T00:00:00+00:00,"Birmingham, Perry Barr",West Midlands,England,"Next picket dates: 1 December. Friday 9 December, Sunday 11 December, Wednesday 14 December, Thursday 15 December, Friday 23 December and Saturday 24 December",ACTIVE,,52.540048,-1.887054,@CWUnews,cwu,
21709,Unite the Union,ciaran.naidoo@unitetheunion.org,Woolwich Ferry- TFL,Pay,2022-10-24T19:59:20+00:00,Greenwich and Woolwich,London,England,"TfL refuses to discuss pay as inflation reaches 12.3 per cent

The unmitigated failure of TfL (Transport for London) managers to discuss pay with Woolwich Ferry workers means Unite will stage a five day strike.

The strike begins on Monday 24 October and ends on Friday 28 October.  87% of the workers who took part in the ballot voted for strike action.

The workers currently face a toxic combination of an employer refusing to discuss a pay deal for 2022, and management victimising and unfairly suspending workers on the service. Unite is challenging the inconsistent treatment of a number of older staff who have been unfairly suspended or dismissed. The service has also refused to discuss the over-reliance on agency workers and alternative working arrangements.

Unite general secretary Sharon Graham, said: “TfL has squandered the time it had to reach a resolution with the workforce. It is absolutely unacceptable for the ferry service to refuse to discuss improving pay in the middle of a cost of living crisis.

“The workers will begin strike action next week and they have the union’s rock solid support. The sooner TfL bosses realise that they must put forward a genuine proposal to end this dispute the better.” 

The troubled ferry operation has been plagued by poor employment relations for years, first with the previous operator Briggs Marine Contractors Ltd and now with TfL which has led to more than 30 days of strike action during 2021.

Unite regional officer Onay Kasab said: “This dispute clearly proves that regardless of the political colours worn by the employer we will steadfastly support our members.

“This is a Labour mayor under a Labour majority GLA who run TFL. They have failed these workers time and time again. Unite is determined to focus on the workplace and take the necessary action to win fair pay and to defend workers.”

The free service across the Thames opened in 1889 following the abolition of tolls across bridges to the west of London. There has been a ferry in place at the site since the 14th century.

",ACTIVE,,51.494471,0.06136,,,
21715,Public and Commercial Services Union,membership@pcs.org.uk,Bristol Magistrates' Court and Tribunals Hearing Centre�,Working conditions e.g. Change to conditions/workload,2022-12-05T00:00:00+00:00,Bristol West,South West,England,"Pickets 2, 3, 4-5 December 2022",ACTIVE,,51.459478,-2.593019,,,
21726,Public and Commercial Services Union,membership@pcs.org.uk,Grimsby Magistrates' Court and Family Court�,Working conditions e.g. Change to conditions/workload,2022-12-02T00:00:00+00:00,Great Grimsby,Yorkshire and The Humber,England,"Pickets 2, 3, 4-5 December 2022",ACTIVE,,53.569096,-0.080597,,,
22091,University and College Union,campaigns@ucu.org.uk,University of Wolverhampton – City–Telford,Pay & conditions,2022-11-30T00:00:00+00:00,Wolverhampton South West,West Midlands,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,52.588182,-2.12807,,ucu,
21725,Public and Commercial Services Union,membership@pcs.org.uk,Gateshead Law Courts�,Working conditions e.g. Change to conditions/workload,2022-12-02T00:00:00+00:00,Gateshead,North East,England,"Pickets 2, 3, 4-5 December 2022",ACTIVE,,54.958982,-1.6003,,,
21833,National Education Union,robert.phillips@neu.org.uk,Scarborough Sixth Form College,Pay,2022-11-30T00:00:00+00:00,Scarborough and Whitby,Yorkshire and The Humber,England,https://neu.org.uk/press-releases/sixth-form-colleges-ballot-result,ACTIVE,,54.275292,-0.430757,,neu,
21581,UNISON: The Public Service Union,an2@soas.ac.uk, School of Oriental and African Studies,,2022-09-26T07:48:16+00:00,Holborn and St Pancras,London,England,UNISON members are striking for a pay rise that keeps up with inflation. With the cost of living crisis and increased bills they simply can’t afford to live on the money that employers have offered. The first strike date is scheduled for 20 September 2022. With more strikes planned later in the year.,ACTIVE,,51.52235,-0.129259,,,
21717,Public and Commercial Services Union,membership@pcs.org.uk,Cambridge Magistrates� Court�,Working conditions e.g. Change to conditions/workload,2022-12-02T00:00:00+00:00,Cambridge,East of England,England,"Pickets 2, 3, 4-5 December 2022",ACTIVE,,52.204128,0.121489,,,
21718,Public and Commercial Services Union,membership@pcs.org.uk,Cardiff Magistrates� Court,Working conditions e.g. Change to conditions/workload,2022-12-05T00:00:00+00:00,Cardiff Central,null,Wales,"Pickets 2, 3, 4-5 December 2022",ACTIVE,,51.482105,-3.166483,,,
22024,University and College Union,Oclayton@lincoln.ac.uk,University of Lincoln,Pay & conditions,2022-11-30T00:00:00+00:00,Lincoln,East Midlands,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,53.228487,-0.547796,,ucu,
22110,University and College Union,campaigns@ucu.org.uk,Kingston University,Pay & conditions,2022-11-30T00:00:00+00:00,Kingston and Surbiton,London,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,51.405082,-0.299538,,ucu,
21720,Public and Commercial Services Union,membership@pcs.org.uk,Crawley Magistrates� Court�,Working conditions e.g. Change to conditions/workload,2022-12-02T00:00:00+00:00,Crawley,South East,England,"Pickets 2, 3, 4-5 December 2022",ACTIVE,,51.11751,-0.182708,,,
21721,Public and Commercial Services Union,membership@pcs.org.uk,Crewe (South Cheshire) Magistrates' Court�,Working conditions e.g. Change to conditions/workload,2022-12-05T00:00:00+00:00,Crewe and Nantwich,North West,England,"Pickets 2, 3, 4-5 December 2022",ACTIVE,,53.097683,-2.438755,,,
21831,National Education Union,robert.phillips@neu.org.uk,Wilberforce College,Pay,2022-11-30T00:00:00+00:00,Kingston upon Hull East,Yorkshire and The Humber,England,https://neu.org.uk/press-releases/sixth-form-colleges-ballot-result,ACTIVE,,53.774574,-0.278441,,neu,
22051,University and College Union,ucu@cardiff.ac.uk,Cardiff University,Pay and pensions,2022-11-30T00:00:00+00:00,Cardiff Central,null,Wales,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,51.489014,-3.179717,,ucu,
22115,University and College Union,campaigns@ucu.org.uk,London School of Economics and Political Science,Pay and pensions,2022-11-30T00:00:00+00:00,Cities of London and Westminster,London,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,51.514835,-0.115918,,ucu,
21729,Public and Commercial Services Union,membership@pcs.org.uk,Haverfordwest Magistrates' Court�,Working conditions e.g. Change to conditions/workload,2022-12-05T00:00:00+00:00,Preseli Pembrokeshire,null,Wales,"Pickets 2, 3, 4-5 December 2022",ACTIVE,,51.800466,-4.988131,,,
21724,Public and Commercial Services Union,membership@pcs.org.uk,Ealing Magistrates� Court�,Working conditions e.g. Change to conditions/workload,2022-12-02T00:00:00+00:00,"Ealing, Southall",London,England,"Pickets 2, 3, 4-5 December 2022",ACTIVE,,51.511254,-0.323141,,,
21733,Public and Commercial Services Union,membership@pcs.org.uk,Lavender Hill Magistrates� Court�,Working conditions e.g. Change to conditions/workload,2022-12-02T00:00:00+00:00,Battersea,London,England,"Pickets 2, 3, 4-5 December 2022",ACTIVE,,51.464613,-0.162473,,,
21730,Public and Commercial Services Union,membership@pcs.org.uk,Hereford Justice Centre�,Working conditions e.g. Change to conditions/workload,2022-12-02T00:00:00+00:00,Hereford and South Herefordshire,West Midlands,England,"Pickets 2, 3, 4-5 December 2022",ACTIVE,,52.05708,-2.71099,,,
21982,University and College Union,westminsterucu@gmail.com,University of Westminster – Regent,Pay & conditions,2022-11-30T00:00:00+00:00,Cities of London and Westminster,London,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,51.516978,-0.14306,,ucu,
22006,University and College Union,campaigns@ucu.org.uk,University of Brighton – Grand Parade,Pay & conditions,2022-11-30T00:00:00+00:00,"Brighton, Kemptown",South East,England,"National strike dates 24, 25 & 30 November. Action short of a strike also begins 23 November. For more visit: https://www.ucu.org.uk/rising",ACTIVE,,50.824207,-0.135479,,ucu,
21739,Public and Commercial Services Union,membership@pcs.org.uk,Manchester Magistrates� Court,Working conditions e.g. Change to conditions/workload,2022-12-05T00:00:00+00:00,Manchester Central,North West,England,"Pickets 2, 3, 4-5 December 2022",ACTIVE,,53.480112,-2.252201,,,
21740,Public and Commercial Services Union,membership@pcs.org.uk,Mansfield Magistrates� and County Court,Working conditions e.g. Change to conditions/workload,2022-12-05T00:00:00+00:00,Mansfield,East Midlands,England,"Pickets 2, 3, 4-5 December 2022",ACTIVE,,53.14969,-1.205754,,,
20319,Communication Workers Union (CWU),info@cwu.org,Royal Mail,Pay,2022-12-01T00:00:00+00:00,Mid Norfolk,East of England,England,"Next picket dates: 1 December. Friday 9 December, Sunday 11 December, Wednesday 14 December, Thursday 15 December, Friday 23 December and Saturday 24 December",ACTIVE,,52.57164,1.110615,@CWUnews,cwu,
21838,National Education Union,robert.phillips@neu.org.uk,Queen Elizabeth Sixth Form College,Pay,2022-11-30T00:00:00+00:00,Darlington,North East,England,https://neu.org.uk/press-releases/sixth-form-colleges-ballot-result,ACTIVE,,54.52576,-1.56525,,neu,
21791,"National Union of Rail, Maritime and Transport Workers",,Southeastern,"Working conditions e.g. Change to conditions/workload, Pay",2022-11-05T21:19:34+00:00,Tunbridge Wells,South East,England,,ACTIVE,,51.130221,0.262851,,,
20360,Communication Workers Union (CWU),info@cwu.org,Royal Mail,Pay,2022-12-01T00:00:00+00:00,Ashton-under-Lyne,North West,England,"Next picket dates: 1 December. Friday 9 December, Sunday 11 December, Wednesday 14 December, Thursday 15 December, Friday 23 December and Saturday 24 December",ACTIVE,,53.486472,-2.094211,@CWUnews,cwu,
21756,Public and Commercial Services Union,membership@pcs.org.uk,South Tyneside Magistrates� Court�,Working conditions e.g. Change to conditions/workload,2022-12-02T00:00:00+00:00,South Shields,North East,England,"Pickets 2, 3, 4-5 December 2022",ACTIVE,,54.993767,-1.438823,,,
21732,Public and Commercial Services Union,membership@pcs.org.uk,Kidderminster Magistrates' Court�,Working conditions e.g. Change to conditions/workload,2022-12-02T00:00:00+00:00,Wyre Forest,West Midlands,England,"Pickets 2, 3, 4-5 December 2022",ACTIVE,,52.384197,-2.240893,,,
